authorId,affiliation
2325053998,The Hebrew University of Jerusalem
144592155,"Prescient Design, Genentech/Roche"
145372008,"Department of Computer Science, University of Illinois"
2975469,IBM
2141935582,University of Geneva
46212260,Allen Institute for Artificial Intelligence
2362746418,University of Illinois Urbana Champaign
83546711,"Tsinghua, Zhipu AI"
1493276636,Julius-Maximilians-University Würzburg
9725200,George Mason University
1729725,GESIS - Leibniz-Institute for the Social Sciences
1857797,Allen Institute for Artificial Intelligence
46961317,Oklahoma State University
20745881,Allen Institute for AI
2153604285,"University of California, San Diego"
27080447,University of Edinburgh
2220675861,Peking University
2109464614,"Gaoling School of Artificial Intelligence, Renmin University of China"
2163546329,Northwestern University
2112678409,Harbin Institute of Technology
3024518,AWS AI Labs
3024518,University of Maryland College Park
3024518,University of Utah
3331786,DeepMInd
35539899,University of Oregon
35539899,University of Texas Health Science Center at Houston
2123130842,Virginia Tech
2157964957,"CNAM, Airbus"
2022124,IT University of Copenhagen
50991767,University of Utah
31328150,"National University of Sciences and Technology (NUST), Islamabad, Pakistan"
2390173,Universidad de Zaragoza
144417333,Monash University (Malaysia)
1731657,Toyota Technological Institute
2653121,"University of California, Los Angeles"
150337518,The Hong Kong Polytechnic University
2165828166,Hannover Medical School
2065507698,Max Planck Institute for Innovation and Competition
1397209264,Universidad Carlos III de Madrid
32455748,University of Waterloo
1783281,Johns Hopkins University
145612610,Allen Institute for Artificial Intelligence
145612610,Northwestern University
2158811804,"CSIRO, UNSW"
49772110,Ludwig-Maximilians-Universität München
144560698,Texas A&M University
33642939,University of Rochester
10135862,Bayer AG
2112340945,"Alibaba DAMO Academy, Tsinghua University"
2364686,University of Bologna
2810989,Blekinge Institute of Technology
114609552,Allen Institute for AI
1831833,University of Toronto
8805254,Allen Institute for Artificial Intelligence
2115537671,Georgia Institute of Technology
2152153638,Indiana University-Purdue University Indianapolis
40211094,"UNSW, Sydney"
3422350,Qualcomm AI Research
47909171,University of South China
143718836,Microsoft
3955759,TU Dresden
151474453,Washington State University
2304386029,"Seoul National University, Yale University"
2192053707,None
36547165,university of wollongong
144568027,Amazon
144568027,TU Dresden
1736067,University of Copenhagen
2107535909,"University of California, Los Angeles"
41018147,Allen Institute for AI
41018147,Semantic Scholar
2187856026,University of Milan-Bicocca
2187856026,"ISTI-CNR, Pisa"
2610023,"IBM Research Europe, Dublin"
46351484,"TH Mittelhessen, Herder Institute"
31773000,Nanyang Technological University
3214675,University of Cuenca
2184245750,University of Padua
2124424844,Leipzig University
1392208839,University of Würzburg
2280193,Stevens Institute of technology
34588911,Technische Hochschule Köln
120427046,Communication University of China
96309563,"TAMU, Microsoft, Amazon"
2157025,Hebrew University of Jerusalem
2157025,Allen Institute for Artificial Intelligence
1405276703,University of Arizona
2248463806,University of Michigan
51199773,Johns Hopkins University
2145466424,Korea University
1897235,Renmin University of China
2366209643,National Cheng Kung University
2087723977,Georgia Institute of Technology
2281024550,Emory University
2281024550,University of Alabama at Birmingham
2261083308,UNC-Chapel Hill
50509991,Allen Institute for AI
2918822,University of Edinburgh
47583894,University of Waterloo
47583894,Technical University of Darmstadt
47583894,"Birla Institute of Technology and Science, Pilani (BITS Pilani)"
143880621,National Research Council Canada
1413809069,Universidad Politécnica de Madrid
2109409802,Allen Institute for AI
51091763,University of Texas at Arlington
49338946,"Inria, Université Paris-Saclay"
145104486,Databricks
145104486,MosaicML
145104486,Allen Institute for AI
3424708,The University of Texas at Austin
2930544,Elsevier
1747893,University of Edinburgh
35504092,Westlake University
3430858,Badji Mokhtar Annaba University
152964870,Facebook AI Research (FAIR)
3328733,Allen Institute for AI
65846898,The University of Hong Kong
4019392,University of Washington
144054829,Jadavpur University
144054829,IIT Kharagpur
144054829,"University of Maryland, College Park, USA"
144054829,"IIIT-Delhi, India"
144054829,"Indian Institute of Technology, Kharagpur, India"
40511414,Facebook AI Research
7193488,DatologyAI
98623604,LMU Munich
2355358738,Dalian University of Technology
4480314,The Allen Institute for Artificial Intelligence
2109077713,The Hong Kong University of Science and Technology
3047023,Allen Institute for AI
2003338023,University of Wisconsin-Madison
2003338023,Allen Institute for AI (AI2)
1830443015,King's College London
2061592207,Stony Brook University
49891156,University of Illinois at Urbana-Champaign
14918655,Indian Institute of Technology Gandhinagar
2822290,Harvard University
1578154573,University of Washington
8937909,Salesforce Rsearch
2263890944,Georgia Institute of Technology
2152958412,Language Techonology Institute
30155522,MIT
1602993448,École Polytechnique
2028213158,University of Illinois Urbana-Champaign
102590513,University of Technology Sydney
144365875,University of Washington
144365875,Allen Institute for AI
2298459121,Brown University
2249534497,Cornell University
3061540,University of Memphis
2056772135,University of Göttingen
2056772135,National Research Council Canada
40520756,The Open University
49973505,Imperial College London
1998918,UC Davis
145465286,MBZUAI
145465286,The University of Melbourne
2141899346,Harbin Institute of Technology
47057650,Massachusetts General Hospital
47057650,Harvard Medical School
1500384901,Zhejiang University
1576489304,UMass Amherst
145904884,"Allen School of Computer Science, University of Washington"
3956514,University of Michigan
1768540,Athena Research Center
2218316624,Arizona State University
25098419,King Fahd University of Petroleum & Minerals
2001105794,L3S Research Center;University of Kassel
2346870683,University of Oulu
2073050239,University of Waterloo
50320098,NASK National Research Institute
