authorId,name
145585097,Bridger Waleed Ammar
3458736,Dirk Groeneveld
1857797,Chandra Bhagavatula
46181066,Iz Beltagy
46230609,Miles Crawford
145612610,Doug Downey
38092776,Jason Dunkelberger
143718836,Ahmed Elgohary
46411828,Sergey Feldman
4480314,Vu A. Ha
143967880,Rodney Michael Kinney
41018147,Sebastian Kohlmeier
46258841,Kyle Lo
144240185,Tyler C. Murray
46256862,Hsu-Han Ooi
39139825,Matthew E. Peters
39561369,Joanna L. Power
46181683,Sam Skjonsberg
31860505,Lucy Lu Wang
46212260,Christopher Wilhelm
2112339497,Zheng Yuan
15292561,Madeleine van Zuylen
1741101,Oren Etzioni
2177422,Vimala Perumal
2404098194,Zeeshan Jawed Shah
2144703629,S. Condrea
8257688,D. Iliescu
4019392,Martin G Frasch
2282506872,Zhiyin Tan
2344832051,Jennifer D'Souza
2158811804,Roelien C. Timmer
2126412923,Necva Bolucu
2363348689,Stephen Wan
2214627507,Diletta Abbonato
2287446119,P. Jansen
2305607265,Peter Clark
2372536250,Doug Downey
2325340903,Daniel S. Weld
72168167,Luca Foppiano
9390836,Sotaro Takeshita
2302563988,Pedro Ortiz Suarez
2238686258,E. Borisova
2238986612,Raia Abu Ahmad
2123349725,Malte Ostendorff
2325726142,Fabio Barth
39207095,J. Schneider
2238737344,Georg Rehm
12483315,A. Kaplunovich
2281477044,Charles R. Kelly
2164374024,Jacqueline M. Cole
2256155114,Shivam Rawat
2125481734,Lucie Flek
2372125639,Akbar Karimi
32435559,Nicolas Douard
2097555,Ahmed Samet
2275424560,Denis Cavallucci
2332937484,George C. Giakos
2386031108,Zhirong Chou
2198685197,Quan Qin
2349461512,Shi Li
2220737480,Samy Ateia
2066206116,U. Kruschwitz
2384115008,Melanie Scholz
2384129095,Agnes Koschmider
2384142434,Moayad Almohaishi
2380443222,Marko D. Petkovi'c
49917515,V. Menkovski
2352931397,S. Calero
2256323292,Laura Antonia Meliante
2256323213,Giulia Coco
2277670967,Alessandro Rabiolo
2340504862,Stefano De Cillà
2268197323,Gianluca Manni
3184373,Sangbong Yoo
102078849,Seongbum Seo
2160148659,Chanyoung Yoon
2275812712,Hyelim Lee
2344658221,Jeong-Nam Kim
2373916989,Chansoo Kim
2118243982,Yun Jang
2380460778,T. Fujiwara
2382771020,Yuanyuan Ren
2314527402,Qi Li
2363682865,Zehao Zheng
2278574890,Chun Wang
2135432,Minghua Nuo
2289005560,Chunyan An
2373516242,Jing Chen
2339707337,Zhiheng Yang
2314339507,Yixian Shen
2366647032,Jie Liu
46767997,A. Belloum
2376331364,Chrysa Papagainni
2363564589,Paola Grosso
2115537671,Haoyang Yang
2376395390,Elliott H. Faa
2409856580,Weijiang Liu
30518075,Shunan Guo
1793506,Duen Horng Chau
2376364857,Yalong Yang
2056784844,Shah Khalid
2275387192,S. Almutairi
2115785,A. Namoune
2370293794,Jawad Khan
31328150,Hasan Ali Khattak
2237201077,Habib Shah
46316984,Yilun Zhao
2372703070,Kaiyan Zhang
2372247895,Tiansheng Hu
2391369088,Sihong Wu
39227408,Ronan Le Bras
2322845849,Taira Anderson
2346315340,Jonathan Bragg
2288062145,Joseph Chee Chang
2286477038,Jesse Dodge
