paperId,fieldOfStudy
649def34f8be52c8b66281af98ae884c09aef38b,Computer Science
966662b18fc5c4a6e29a06f56975dbdd44ab63eb,Computer Science
b72a18092dc4064e772cb13309042dfb7ef18453,Computer Science
df3b2eee3edd9c24b3790c0cc8b168c36ed87b18,Computer Science
fd56c3fa34b7ee440a2155dbdc737283fda7138d,Computer Science
db0401da5b1048413af0788f79631f3b1c4c5e9f,Computer Science
cdfcc1890f873b407bb0bf82269e57bcb1aad5ae,Computer Science
13b6a265d4023d50967745f56a22e8c5806c2c53,Computer Science
479e54f2316019c039678086601a9eb6ff91dd28,Computer Science
3b2635037e4e6805db2bdc4f288e72f3f7468aa2,Medicine
859bd2bd0137a78a1af3446120d18d2dd4b59690,Computer Science
b9b7d5a95cd3d9570c801c2b7d17705c73020278,Computer Science
e3360038a7b53c83547ea7e61780999a49f965cd,Computer Science
db5adab6b866e14ef1216716f9cb3783f65f5042,Computer Science
a2b42aac08d33e0e9e85efb8f1d0d02cc0dcf07b,Computer Science
aa722631eee5c97ab82c51158ca0bebbda85c7c6,Medicine
b09d87068d109acdc09764b8dbde5a61ef6508e3,Computer Science
0e6f86b63bf06fae17f8fab2c3cedcce2d4eadeb,Computer Science
e767adbdde175562067003f2e517f064be5d4df4,Computer Science
e767adbdde175562067003f2e517f064be5d4df4,Medicine
7cea5d3b925ac0a4430d5beb98abdcf0098698e3,Computer Science
096d79a02f783809972405c04a0b3d30b45b6287,Computer Science
6ea3fffea0eb682720f38c5eb8b996393e030df2,Computer Science
c83a30e258a39b47d12ddf0bd17058746420d4f3,Medicine
54e597398a3073102fae1c4c4f8668538d6730c0,Medicine
9b49dc34c4c5230819309e52601c6526a68f28b1,Computer Science
7aa7b85e4baed73bdc2a30e637b66d8dd1349a62,Computer Science
7aab05d4365672b8d4634342ad80fe485c297fad,Computer Science
edd866a30b34343364c50430031fc8b516be4dd2,Medicine
f7ca7259cb50defa577bfa033abb2aa84c4c28d1,Computer Science
b11a6b91f51e4c2f0d1d4edf36f4021c3ecd1a49,Medicine
2c77f4bfc7b2d5fba5b4d07f337805b41e84e684,Computer Science
4a4f4277936b35ef033ab64c57f7cc848ca90aae,Computer Science
c059ad6a98ef5292b93829e33ab6db382edca073,Computer Science
9f3ae8055e227edb413c54417c9c216f1f554f52,Computer Science
2cbc3988bab4c17f9eb9040e1dca9c5db2e26dad,Computer Science
db4e8d662dbe80f3ddf78e69b1c1053500894d25,Medicine
50a3f0dd12114fb2ca90a5511a6325524c3f6013,Medicine
5eafc35cedbb28b033009947ca73b40007b2b407,Computer Science
4772df95a893061e0fedc9a09c56f95d8926fb9d,Computer Science
4b54be5847567d6980584078b88490535da1a804,Computer Science
ca48013d99a608e800ae34388fe9fba9ea6ca280,Medicine
3dd5ad34012164c4ec9c571a12cc6a7561683dea,Computer Science
02487e9dfefdcb667be4dc160780321555662a2e,Computer Science
0f2afff2ab839fcb8a52c24ee35825db03923810,Computer Science
937aa9229358b0c19ad3b9d224eb0599e0552986,Computer Science
3a66e3a6fe1f9e1d95140f0c8fefc4ff964ba89d,Computer Science
46c96074a4e33e90bc01b3c869cac9ea3a0b8fe7,Computer Science
46c96074a4e33e90bc01b3c869cac9ea3a0b8fe7,Engineering
46c96074a4e33e90bc01b3c869cac9ea3a0b8fe7,Medicine
d33856de0e4f1499d6a48fdbd91e92700127b2fe,Computer Science
e11c67919830bb0a29a86b05936d467227accc81,Computer Science
c5a528afd98274902b4987b887f19ecd282ca8bd,Medicine
ce2beb2ad9efa56abdc59f4c613bda52cc11803c,Medicine
ce2beb2ad9efa56abdc59f4c613bda52cc11803c,Computer Science
6d66d55bd147f3f44830e86b4514da27aa00570f,Computer Science
3f68ce247d93fae97f62f68fce175f0c3fdb425b,Computer Science
1571d11e5c22d0bdefce3f6ffa333f040a2e409d,Computer Science
1571d11e5c22d0bdefce3f6ffa333f040a2e409d,Medicine
b4076046f55b8005d82489728df5ea24ffcd0281,Computer Science
b798cf6af813638fab09a8af6ad0f3df6c241485,Computer Science
f958280f92eb3b23608f5525b94b1a7c25dfff0b,Computer Science
adb68c59226e1c3ce5ea9c259c760a738a4870df,Computer Science
89abfcec27ae484c368c25b0a1441aaa3bf6e408,Computer Science
dfbbea9a828d5e5ffeb22089a5386379d91a524f,Computer Science
cd74e0bdd54599e79b41106d1c66adeebc1bff68,Computer Science
93886752191db25efd096a65af7b09df5c0a64e0,Computer Science
1347323c30180b5d5528abace9d36ba0d2dbf3c1,Medicine
1347323c30180b5d5528abace9d36ba0d2dbf3c1,Computer Science
1347323c30180b5d5528abace9d36ba0d2dbf3c1,Biology
bf71acf9684658be6bea32447d838640af679654,Computer Science
4739e96fb40091b0d15bd22750b143e1fcef05c7,Computer Science
ed4e20bcd73b1138d3bb2ed4dbbf5e8b224ef5c7,Computer Science
bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3,Computer Science
476991e5b9590febcd9f93ceea178be635958a9c,Computer Science
7031506190d629c5ab73726498422401fe437d9c,Computer Science
f904784b97e48e7a93b74428e5333fb3c7b403c4,Computer Science
af3dfaf07b7d10de7928df851afccd99a041c9e3,Computer Science
39abce3268f309d5655247de0c442a28219df390,Computer Science
8b53456cfb9c0f26614a830ff09073afdd0bbe6d,Computer Science
43e87bbe3c42c79678ac12f73833f0eb3e008a44,Computer Science
1b5ddb30be6dcef45dd1eae1346ccd40610c3834,Medicine
1b5ddb30be6dcef45dd1eae1346ccd40610c3834,Computer Science
