vec,graph_k,budget,avg_pool,total_relevant,rel_vector,rel_cites,rel_coauthor,rel_venue,rel_field,pool_vector,pool_cites,pool_coauthor,pool_venue,pool_field
300,3,1200,486.6,108,87,9,8,4,0,3000,901,469,458,38
200,5,1200,415.3,98,70,15,8,5,0,2000,1184,341,559,69
150,7,1200,378.6,88,62,15,5,6,0,1500,1305,329,555,97
100,11,1200,349.5,79,45,22,5,7,0,1000,1431,282,634,148
80,14,1200,337.5,83,39,28,5,11,0,800,1512,263,612,188
60,19,1200,336.4,79,32,27,7,13,0,600,1659,245,633,227
40,29,1200,344.3,77,26,31,7,13,0,400,1874,222,631,316
20,59,1200,373.8,72,15,36,6,12,3,200,2233,126,648,531
10,119,1200,406.0,64,8,34,3,15,4,100,2440,40,682,798
5,239,1200,512.6,89,4,57,0,16,12,50,3158,10,564,1344
