config,avg_pool_size,avg_relevant_in_pool,avg_MRR@5,avg_Recall@5,avg_Recall@10,avg_time_s
hybrid_reranker,345.1,8.4,0.9333,0.2452,0.3319,13.26
hybrid_freq_no_reranker,345.1,8.4,0.1117,0.0362,0.1018,5.92
hybrid_interleave_no_reranker,345.1,8.4,0.5417,0.1042,0.1714,4.99
b800_hybrid_reranker,399.8,9.8,0.9,0.2489,0.3787,14.22
b800_hybrid_freq,399.8,9.8,0.1367,0.0415,0.0888,6.71
b800_hybrid_interleave,399.8,9.8,0.5417,0.1042,0.1714,6.25
metapath_hybrid_reranker,91.8,4.1,0.85,0.181,0.2241,21.29
metapath_hybrid_freq,91.8,4.1,0.4317,0.0751,0.1655,19.19
metapath_hybrid_interleave,91.8,4.1,0.5417,0.1042,0.1714,18.94
vector_reranker,60.0,3.6,0.85,0.1591,0.2074,1.22
vector_only,60.0,3.6,0.5417,0.1042,0.1714,0.05
vector_poolmatch_reranker,345.1,9.8,0.9,0.2539,0.3994,14.89
vector_poolmatch_only,345.1,9.8,0.5417,0.1042,0.1714,4.99
